information,algorithm_period_return,max_drawdown,sortino,period_label,algo_volatility,trading_days,benchmark_volatility,beta,excess_return,treasury_period_return,sharpe,alpha,benchmark_period_return
0.090046524938206335,0.011047978185879881,0.025406763986072667,0.020541258745257484,2008-06,0.031313932074749432,125,0.14972199323180194,0.10535782765642561,0.00022770421327714119,0.01082027397260274,0.0072716582744571604,0.014882919310551924,-0.12827916859625688
0.052069371107204346,0.0017127126010429983,0.04517782914600621,-0.76075056261784346,2008-07,0.042657182228306771,126,0.14876839299902564,0.16205763272480872,-0.0077113969879980971,0.009424109589041095,-0.18077605189029367,0.0068846176564252345,-0.080642704290740386
0.033950306861937889,0.02167883166159168,0.04718842355982189,1.1027897578490349,2008-08,0.04852525996251917,127,0.14964017643553162,0.19926789564403621,0.011747872757482092,0.009930958904109588,0.24209809007836597,0.020885061486117063,-0.035922833545012578
0.013346024600631737,-0.084301994897613364,0.13260462996722777,-8.1990799366730869,2008-09,0.082631458928937099,128,0.19977965289818553,0.34130506111659253,-0.092323912705832539,0.008021917808219177,-1.1172973816816054,-0.049244543569088334,-0.11819762606789097
0.070082254383868919,-0.11901833429911479,0.16638478148085822,-12.181807266160492,2008-10,0.1063090902234055,129,0.30799408534897482,0.26103519346599385,-0.1237569644361011,0.004738630136986301,-1.1641240102424864,-0.043990356323820159,-0.30083935363274805
0.068336331611853512,-0.16245800065764948,0.19375055614650005,-17.310300315129819,2008-11,0.11910853991297003,127,0.35966771441236195,0.26353957021768248,-0.16466402805490976,0.002206027397260274,-1.3824703768111515,-0.069207805051678908,-0.36000228509404586
0.032168218659535917,-0.1613499278789905,0.18875775593131805,-17.448319556611594,2008-12,0.12463690869821613,128,0.38302351272255786,0.2569980914993375,-0.16271102376940144,0.001361095890410959,-1.3054802583669203,-0.086717450526049997,-0.29433593749999987
0.060717944253192629,-0.14324575796528261,0.19661993437822378,-14.900593656874822,2009-01,0.12834296106361745,126,0.39230219253389359,0.25993907846168518,-0.14506055248583055,0.0018147945205479452,-1.1302571740878449,-0.054037361389344035,-0.34835645189288145
0.090748854434033882,-0.16262657508565637,0.18024161788033222,-15.765616106983739,2009-02,0.13200306760468,124,0.39953537955703639,0.26407884596095821,-0.16485808193497142,0.002231506849315068,-1.24889583951704,-0.05151296933822469,-0.42697785365169172
0.084716860495182761,-0.018482392001707204,0.09178489911716481,-2.3225346661910691,2009-03,0.12580143881400355,125,0.39656443099933492,0.25100839473940517,-0.020626501590748299,0.002144109589041096,-0.1639607764839989,0.059213175772884818,-0.31593161631057276
0.048383169557295651,0.075838576432754934,0.09138594184637161,10.003783534303404,2009-04,0.11227270117620582,123,0.32717548883779329,0.28312154471638101,0.074400494240974113,0.0014380821917808217,0.66267662095531699,0.10284654280876152,-0.099034838709676665
0.039490321943805105,0.15967747914103469,0.07161347565975629,22.984647040890337,2009-05,0.10898358797116674,124,0.27732048032414203,0.30118565005812892,0.15818158873007579,0.0014958904109589042,1.4514257758876972,0.15093647719052819,0.025551191645095672
0.081299821444141121,0.22405404022540054,0.07161347565975629,34.047881679412548,2009-06,0.10573682690422463,124,0.24529264736238771,0.33193301516043128,0.22231842378704439,0.0017356164383561645,2.1025637925414409,0.21698900929100715,0.017791309161363511
0.037153644976273562,0.30605143986827654,0.07161347565975629,51.01134765740408,2009-07,0.10531225804211093,126,0.2271107958821548,0.34650419072973621,0.30476212479978337,0.0012893150684931507,2.8938903264035889,0.2374083775328229,0.19567007313411366
-0.029345961566936703,0.34204466439570225,0.043807678278572904,58.509025539929851,2009-08,0.10627402882879577,128,0.20760142736874865,0.37072348089573059,0.34083480138200362,0.00120986301369863,3.2071316495498454,0.19728371303707251,0.38842862778707477
0.0076792031456573862,0.34768168543729927,0.043807678278572904,64.05652729721875,2009-09,0.10069265352717213,127,0.15741976278440259,0.44441670910744896,0.3467792196838746,0.0009024657534246575,3.443937641292723,0.20279930721630526,0.3248774863072954
0.051280172268198781,0.27322814221927949,0.053201617935414225,42.033805662827021,2009-10,0.11410562652150642,128,0.14670143788664175,0.50318128215344848,0.27242156687681374,0.0008065753424657534,2.3874507785597077,0.17863766799327174,0.18718850608952797
0.064643485888933858,0.28549556087105898,0.053201617935414225,44.80725852356148,2009-11,0.11270050267380448,128,0.13077294227195937,0.57671951828711465,0.28474350607653842,0.000752054794520548,2.5265504529353153,0.17443759611592097,0.19201645015993396
0.060468790745840911,0.30052854264315698,0.06362033926164468,43.713714646782783,2009-12,0.12131405131460257,128,0.12038929225588878,0.64740326285233762,0.29952032346507479,0.0010082191780821917,2.4689664570539449,0.16230091322805532,0.21296175434016407
