information,algorithm_period_return,max_drawdown,sortino,period_label,algo_volatility,trading_days,benchmark_volatility,beta,excess_return,treasury_period_return,sharpe,alpha,benchmark_period_return
0.047477075647435196,-0.15208454017661133,0.19485081065619547,-18.715566900335627,2008-12,0.12874822823697885,253,0.41054468689474971,0.23739033560734193,-0.1557946771629127,0.00371013698630137,-1.2100723970830196,-0.063552371733360966,-0.38485793674575708
0.054090446691977906,-0.14177838417895283,0.20265393808118515,-15.394522051834597,2009-01,0.13530355463191845,252,0.41909409791613367,0.24813787997107631,-0.14689235678169255,0.005113972602739726,-1.0856503894616842,-0.046143235488974199,-0.40090674984585206
0.068224168661075904,-0.14447329756904714,0.20265393808118515,-13.341496703643589,2009-02,0.14088307648198223,251,0.42674883723232909,0.25686770720223912,-0.15167329756904716,0.007200000000000001,-1.0765899024674188,-0.034859514125633123,-0.44756243283256802
0.05817279836080104,-0.10122628438309622,0.20265393808118504,-10.23132447999021,2009-03,0.15028020263638403,253,0.44332969173176356,0.2687758430211723,-0.10692628438309622,0.005700000000000001,-0.71151277751344022,0.0012524648388867049,-0.39678687533076162
0.059350617033824486,-0.052205938909001159,0.20265393808118515,-5.7178872976327719,2009-04,0.15482140381539247,252,0.44871744212144632,0.27339310286045138,-0.057105938909001161,0.0049,-0.36885041410097097,0.045411175069018789,-0.37008061547788196
0.055636194877938923,-0.02872140552792124,0.20156434672094414,-3.3115877445711139,2009-05,0.16241986586658985,251,0.45412114196913222,0.27929926077913364,-0.033421405527921243,0.0047,-0.20577166068695851,0.063872374890077285,-0.34364958082806107
0.049132086880471132,0.026553009115045434,0.19661993437822378,1.9619804789908897,2009-06,0.16484511828879209,252,0.45438725074306513,0.28056040333017046,0.020953009115045433,0.0056,0.12710724668435655,0.1015808085245737,-0.28178124999999898
0.050357083665872389,0.11896511142269883,0.19661993437822378,11.363273707002945,2009-07,0.16778720613509529,252,0.45375243532360476,0.28449163182710141,0.11416511142269883,0.0048,0.68041607016674344,0.17836045218021568,-0.22084931117738926
0.047880047976819051,0.12379253701305015,0.18024161788033222,12.048497785121731,2009-08,0.17167359462509296,252,0.45236950251480262,0.29045249360310027,0.11949253701305015,0.0043,0.69604494083089652,0.18010987008824683,-0.20439964765401364
0.057879039134576947,0.32277330423352679,0.09178489911716481,36.413287756845115,2009-09,0.16201752691064214,252,0.42746128200767342,0.27924932669614927,0.31877330423352679,0.004,1.9675235779233964,0.34605406437627506,-0.093693199355257328
0.046274554639285384,0.36978795199931058,0.09138594184637161,43.251454236459303,2009-10,0.16008810349195332,251,0.35811999462554928,0.32060579860886085,0.3660879519993106,0.0037,2.2867904860757604,0.34495506565216882,0.069615483870969719
0.045172397370251825,0.49076025147793945,0.07161347565975629,65.215801927112111,2009-11,0.15658379046619908,252,0.30607241111065231,0.35159827432289786,0.48806025147793947,0.0027,3.1169270460552205,0.41078813068850828,0.22247389092207737
0.071046567855411344,0.59191721705081024,0.07161347565975629,67.704399027508558,2009-12,0.16064430607047836,252,0.27285015480725278,0.39315563585579005,0.5872172170508102,0.0047,3.6553876786220139,0.49685356616341136,0.23454193191254258
